nation,year,share_air_time_valid,dep_total,n_rows,covid_flag,match_sensitive,reason
IT,2009,0.0,4267.0,245,False,False,share_air_time_valid < 0.5
IT,2010,0.0,4599.0,282,False,False,share_air_time_valid < 0.5
IT,2011,0.0,4873.0,352,False,False,share_air_time_valid < 0.5
IT,2012,0.0,4373.0,271,False,False,share_air_time_valid < 0.5
IT,2013,0.0,4272.0,190,False,False,share_air_time_valid < 0.5
IT,2014,0.0,4877.0,201,False,False,share_air_time_valid < 0.5
IT,2015,0.0,5525.0,208,False,False,share_air_time_valid < 0.5
IT,2016,0.0,5369.0,208,False,False,share_air_time_valid < 0.5
IT,2017,0.0,4999.0,185,False,False,share_air_time_valid < 0.5
IT,2018,0.0,5213.0,198,False,False,share_air_time_valid < 0.5
IT,2019,0.0,6622.0,270,False,False,share_air_time_valid < 0.5
IT,2020,0.0,1207.0,86,True,False,share_air_time_valid < 0.5
IT,2021,0.0,735.0,38,True,False,share_air_time_valid < 0.5
IT,2022,0.0,3326.0,140,False,False,share_air_time_valid < 0.5
IT,2023,0.0,4905.0,263,False,False,share_air_time_valid < 0.5
IT,2024,0.0,5137.0,310,False,False,share_air_time_valid < 0.5
IT,2025,0.0,4689.0,273,False,False,share_air_time_valid < 0.5
JM,1990,0.0,6659.0,296,False,False,share_air_time_valid < 0.5
JM,1991,0.0,6078.0,287,False,False,share_air_time_valid < 0.5
JM,1992,0.0,6684.0,344,False,False,share_air_time_valid < 0.5
JM,1993,0.0,7346.0,321,False,False,share_air_time_valid < 0.5
JM,1994,0.0,7427.0,282,False,False,share_air_time_valid < 0.5
JM,1995,0.0,7884.0,288,False,False,share_air_time_valid < 0.5
JM,1996,0.0,8927.0,454,False,False,share_air_time_valid < 0.5
JM,1997,0.0,10426.0,527,False,False,share_air_time_valid < 0.5
JM,1998,0.0,10950.0,575,False,False,share_air_time_valid < 0.5
JM,1999,0.0,11989.0,568,False,False,share_air_time_valid < 0.5
JM,2000,0.0,12906.0,595,False,False,share_air_time_valid < 0.5
JM,2001,0.0,13754.0,644,False,False,share_air_time_valid < 0.5
JM,2002,0.0,13888.0,738,False,False,share_air_time_valid < 0.5
JM,2003,0.0,13668.0,709,False,False,share_air_time_valid < 0.5
JM,2004,0.0,13865.0,724,False,False,share_air_time_valid < 0.5
JM,2005,0.0,9643.0,654,False,False,share_air_time_valid < 0.5
JM,2006,0.0,10997.0,667,False,False,share_air_time_valid < 0.5
JM,2007,0.0,9508.0,559,False,False,share_air_time_valid < 0.5
JM,2008,0.0,9681.0,559,False,False,share_air_time_valid < 0.5
JM,2009,0.0,7592.0,392,False,False,share_air_time_valid < 0.5
JM,2010,0.0,5862.0,283,False,False,share_air_time_valid < 0.5
JM,2011,0.0,2358.0,131,False,False,share_air_time_valid < 0.5
JO,1990,0.0,776.0,440,False,False,share_air_time_valid < 0.5
JO,1991,0.0,1122.0,433,False,False,share_air_time_valid < 0.5
JO,1992,0.0,485.0,485,False,False,share_air_time_valid < 0.5
JO,1993,0.0,584.0,584,False,False,share_air_time_valid < 0.5
JO,1994,0.0,719.0,719,False,False,share_air_time_valid < 0.5
JO,1995,0.0,758.0,590,False,False,share_air_time_valid < 0.5
JO,1996,0.0,788.0,67,False,False,share_air_time_valid < 0.5
JO,1997,0.0,798.0,68,False,False,share_air_time_valid < 0.5
JO,1998,0.0,813.0,64,False,False,share_air_time_valid < 0.5
JO,1999,0.0,827.0,61,False,False,share_air_time_valid < 0.5
JO,2000,0.0,840.0,60,False,False,share_air_time_valid < 0.5
JO,2001,0.0,777.0,58,False,False,share_air_time_valid < 0.5
JO,2002,0.0,800.0,67,False,False,share_air_time_valid < 0.5
JO,2003,0.0,848.0,73,False,False,share_air_time_valid < 0.5
JO,2004,0.0,1019.0,72,False,False,share_air_time_valid < 0.5
JO,2005,0.0,1010.0,72,False,False,share_air_time_valid < 0.5
JO,2006,0.0,1063.0,72,False,False,share_air_time_valid < 0.5
JO,2007,0.0,1244.0,72,False,False,share_air_time_valid < 0.5
JO,2008,0.0,1285.0,72,False,False,share_air_time_valid < 0.5
JO,2009,0.0,1149.0,72,False,False,share_air_time_valid < 0.5
JO,2010,0.0,1161.0,72,False,False,share_air_time_valid < 0.5
JO,2011,0.0,1230.0,72,False,False,share_air_time_valid < 0.5
JO,2012,0.0,1188.0,72,False,False,share_air_time_valid < 0.5
JO,2013,0.0,1163.0,115,False,False,share_air_time_valid < 0.5
JO,2014,0.0,1194.0,105,False,False,share_air_time_valid < 0.5
JO,2015,0.0,1184.0,76,False,False,share_air_time_valid < 0.5
JO,2016,0.0,1205.0,78,False,False,share_air_time_valid < 0.5
JO,2017,0.0,1311.0,80,False,False,share_air_time_valid < 0.5
JO,2018,0.0,1317.0,80,False,False,share_air_time_valid < 0.5
JO,2019,0.0,1381.0,80,False,False,share_air_time_valid < 0.5
JO,2020,0.0,380.0,56,True,False,share_air_time_valid < 0.5
JO,2021,0.0,1008.0,86,True,False,share_air_time_valid < 0.5
JO,2022,0.0,1449.0,76,False,False,share_air_time_valid < 0.5
JO,2023,0.0,1593.0,72,False,False,share_air_time_valid < 0.5
JO,2024,0.0,1564.0,72,False,False,share_air_time_valid < 0.5
JO,2025,0.0,1618.0,84,False,False,share_air_time_valid < 0.5
JP,1990,0.0,14198.0,614,False,False,share_air_time_valid < 0.5
JP,1991,0.0,13636.0,605,False,False,share_air_time_valid < 0.5
JP,1992,0.0,13233.0,636,False,False,share_air_time_valid < 0.5
JP,1993,0.0,12425.0,628,False,False,share_air_time_valid < 0.5
JP,1994,0.0,13778.0,712,False,False,share_air_time_valid < 0.5
JP,1995,0.0,16173.0,829,False,False,share_air_time_valid < 0.5
JP,1996,0.0,16883.0,797,False,False,share_air_time_valid < 0.5
JP,1997,0.0,18508.0,838,False,False,share_air_time_valid < 0.5
JP,1998,0.0,20778.0,907,False,False,share_air_time_valid < 0.5
JP,1999,0.0,23137.0,1083,False,False,share_air_time_valid < 0.5
JP,2000,0.0,24877.0,1125,False,False,share_air_time_valid < 0.5
JP,2001,0.0,23002.0,1061,False,False,share_air_time_valid < 0.5
JP,2002,0.0,21768.0,843,False,False,share_air_time_valid < 0.5
JP,2003,0.0,19195.0,720,False,False,share_air_time_valid < 0.5
JP,2004,0.0,19575.0,792,False,False,share_air_time_valid < 0.5
JP,2005,0.0,19007.0,755,False,False,share_air_time_valid < 0.5
JP,2006,0.0,16205.0,559,False,False,share_air_time_valid < 0.5
JP,2007,0.0,15683.0,575,False,False,share_air_time_valid < 0.5
JP,2008,0.0,15762.0,597,False,False,share_air_time_valid < 0.5
JP,2009,0.0,14553.0,540,False,False,share_air_time_valid < 0.5
JP,2010,0.0,13666.0,469,False,False,share_air_time_valid < 0.5
JP,2011,0.0,13879.0,477,False,False,share_air_time_valid < 0.5
JP,2012,0.0,14869.0,472,False,False,share_air_time_valid < 0.5
JP,2013,0.0,16923.0,547,False,False,share_air_time_valid < 0.5
JP,2014,0.0,18764.0,570,False,False,share_air_time_valid < 0.5
JP,2015,0.0,20449.0,631,False,False,share_air_time_valid < 0.5
JP,2016,0.0,21896.0,698,False,False,share_air_time_valid < 0.5
JP,2017,0.0,22739.0,726,False,False,share_air_time_valid < 0.5
JP,2018,0.0,24217.0,753,False,False,share_air_time_valid < 0.5
JP,2019,0.0,24269.0,779,False,False,share_air_time_valid < 0.5
JP,2020,0.0,10871.0,498,True,False,share_air_time_valid < 0.5
JP,2021,0.0,13453.0,612,True,False,share_air_time_valid < 0.5
JP,2022,0.0,17160.0,852,False,False,share_air_time_valid < 0.5
